     #Energy        Ge_d
   -22.62487     0.00000
   -22.58587     0.00000
   -22.54687     0.00000
   -22.50887     0.00000
   -22.46987     0.00000
   -22.43087     0.00000
   -22.39287     0.00000
   -22.35387     0.00000
   -22.31487     0.00000
   -22.27687     0.00000
   -22.23787     0.00000
   -22.19887     0.00000
   -22.16087     0.00000
   -22.12187     0.00000
   -22.08287     0.00000
   -22.04487     0.00000
   -22.00587     0.00000
   -21.96687     0.00000
   -21.92887     0.00000
   -21.88987     0.00000
   -21.85087     0.00000
   -21.81287     0.00000
   -21.77387     0.00000
   -21.73487     0.00000
   -21.69687     0.00000
   -21.65787     0.00000
   -21.61887     0.00000
   -21.58087     0.00000
   -21.54187     0.00000
   -21.50287     0.00000
   -21.46487     0.00000
   -21.42587     0.00000
   -21.38687     0.00000
   -21.34887     0.00000
   -21.30987     0.00000
   -21.27087     0.00000
   -21.23287     0.00000
   -21.19387     0.00000
   -21.15487     0.00000
   -21.11687     0.00000
   -21.07787     0.00000
   -21.03887     0.00000
   -21.00087     0.00000
   -20.96187     0.00000
   -20.92287     0.00000
   -20.88487     0.00000
   -20.84587     0.00000
   -20.80687     0.00000
   -20.76887     0.00000
   -20.72987     0.00000
   -20.69087     0.00000
   -20.65287     0.00000
   -20.61387     0.00000
   -20.57487     0.00000
   -20.53687     0.00000
   -20.49787     0.00000
   -20.45887     0.00000
   -20.42087     0.00000
   -20.38187     0.00000
   -20.34287     0.00000
   -20.30487     0.00000
   -20.26587     0.00000
   -20.22687     0.00000
   -20.18887     0.00000
   -20.14987     0.00000
   -20.11087     0.00000
   -20.07287     0.00000
   -20.03387     0.00000
   -19.99487     0.00000
   -19.95687     0.00000
   -19.91787     0.00000
   -19.87887     0.00000
   -19.84087     0.00000
   -19.80187     0.00000
   -19.76287     0.00000
   -19.72487     0.00000
   -19.68587     0.00000
   -19.64687     0.00000
   -19.60887     0.00000
   -19.56987     0.00000
   -19.53087     0.00000
   -19.49287     0.00000
   -19.45387     0.00000
   -19.41487     0.00000
   -19.37687     0.00000
   -19.33787     0.00000
   -19.29887     0.00000
   -19.26087     0.00000
   -19.22187     0.00000
   -19.18287     0.00000
   -19.14487     0.00000
   -19.10587     0.00000
   -19.06687     0.00000
