     #Energy           s           p           d       tot  
   -18.25518     0.01037     0.01682    31.96907    31.99626
   -18.21618     0.01037     0.01682    31.96907    31.99626
   -18.17818     0.01037     0.01682    31.96907    31.99626
   -18.13918     0.01037     0.01682    31.96907    31.99626
   -18.10018     0.01037     0.01682    31.96907    31.99626
   -18.06218     0.01037     0.01682    31.96907    31.99626
   -18.02318     0.01037     0.01682    31.96907    31.99626
   -17.98418     0.01037     0.01682    31.96907    31.99626
   -17.94618     0.01037     0.01682    31.96907    31.99626
   -17.90718     0.01037     0.01682    31.96907    31.99626
   -17.86818     0.01037     0.01682    31.96907    31.99626
   -17.83018     0.01037     0.01682    31.96907    31.99626
   -17.79118     0.01037     0.01682    31.96907    31.99626
   -17.75218     0.01037     0.01682    31.96907    31.99626
   -17.71418     0.01037     0.01682    31.96907    31.99626
   -17.67518     0.01037     0.01682    31.96907    31.99626
   -17.63618     0.01037     0.01682    31.96907    31.99626
   -17.59818     0.01037     0.01682    31.96907    31.99626
   -17.55918     0.01037     0.01682    31.96907    31.99626
   -17.52018     0.01037     0.01682    31.96907    31.99626
   -17.48218     0.01037     0.01682    31.96907    31.99626
   -17.44318     0.01037     0.01682    31.96907    31.99626
   -17.40418     0.01037     0.01682    31.96907    31.99626
   -17.36618     0.01037     0.01682    31.96907    31.99626
   -17.32718     0.01037     0.01682    31.96907    31.99626
   -17.28818     0.01037     0.01682    31.96907    31.99626
   -17.25018     0.01037     0.01682    31.96907    31.99626
   -17.21118     0.01037     0.01682    31.96907    31.99626
   -17.17218     0.01037     0.01682    31.96907    31.99626
   -17.13418     0.01037     0.01682    31.96907    31.99626
   -17.09518     0.01037     0.01682    31.96907    31.99626
   -17.05618     0.01037     0.01682    31.96907    31.99626
   -17.01818     0.01037     0.01682    31.96907    31.99626
   -16.97918     0.01037     0.01682    31.96907    31.99626
   -16.94018     0.01037     0.01682    31.96907    31.99626
   -16.90218     0.01037     0.01682    31.96907    31.99626
   -16.86318     0.01037     0.01682    31.96907    31.99626
   -16.82418     0.01037     0.01682    31.96907    31.99626
   -16.78618     0.01037     0.01682    31.96907    31.99626
   -16.74718     0.01037     0.01682    31.96907    31.99626
   -16.70818     0.01037     0.01682    31.96907    31.99626
   -16.67018     0.01037     0.01682    31.96907    31.99626
   -16.63118     0.01037     0.01682    31.96907    31.99626
   -16.59218     0.01037     0.01682    31.96907    31.99626
   -16.55418     0.01037     0.01682    31.96907    31.99626
   -16.51518     0.01037     0.01682    31.96907    31.99626
   -16.47618     0.01037     0.01682    31.96907    31.99626
   -16.43818     0.01037     0.01682    31.96907    31.99626
   -16.39918     0.01037     0.01682    31.96907    31.99626
   -16.36018     0.01037     0.01682    31.96907    31.99626
   -16.32218     0.01037     0.01682    31.96907    31.99626
   -16.28318     0.01037     0.01682    31.96907    31.99626
   -16.24418     0.01037     0.01682    31.96907    31.99626
   -16.20618     0.01037     0.01682    31.96907    31.99626
   -16.16718     0.01037     0.01682    31.96907    31.99626
   -16.12818     0.01037     0.01682    31.96907    31.99626
   -16.09018     0.01037     0.01682    31.96907    31.99626
   -16.05118     0.01037     0.01682    31.96907    31.99626
   -16.01218     0.01037     0.01682    31.96907    31.99626
   -15.97418     0.01037     0.01682    31.96907    31.99626
   -15.93518     0.01037     0.01682    31.96907    31.99626
   -15.89618     0.01037     0.01682    31.96907    31.99626
   -15.85818     0.01037     0.01682    31.96907    31.99626
   -15.81918     0.01037     0.01682    31.96907    31.99626
