     #Energy           s           p           d       tot  
   -20.92318     0.00000     0.00000     0.00000     0.00000
   -20.88418     0.00000     0.00000     0.00000     0.00000
   -20.84618     0.00000     0.00000     0.00000     0.00000
   -20.80718     0.00000     0.00000     0.00000     0.00000
   -20.76818     0.00000     0.00000     0.00000     0.00000
   -20.73018     0.00000     0.00000     0.00000     0.00000
   -20.69118     0.00000     0.00000     0.00000     0.00000
   -20.65218     0.00000     0.00000     0.00000     0.00000
   -20.61418     0.00000     0.00000     0.00000     0.00000
   -20.57518     0.00000     0.00000     0.00000     0.00000
   -20.53618     0.00000     0.00000     0.00000     0.00000
   -20.49818     0.00000     0.00000     0.00000     0.00000
   -20.45918     0.00000     0.00000     0.00000     0.00000
   -20.42018     0.00000     0.00000     0.00000     0.00000
   -20.38218     0.00000     0.00000     0.00000     0.00000
   -20.34318     0.00000     0.00000     0.00000     0.00000
   -20.30418     0.00000     0.00000     0.00000     0.00000
   -20.26618     0.00000     0.00000     0.00000     0.00000
   -20.22718     0.00000     0.00000     0.00000     0.00000
   -20.18818     0.00000     0.00000     0.00000     0.00000
   -20.15018     0.00000     0.00000     0.00000     0.00000
   -20.11118     0.00000     0.00000     0.00000     0.00000
   -20.07218     0.00000     0.00000     0.00000     0.00000
   -20.03418     0.00000     0.00000     0.00000     0.00000
   -19.99518     0.00000     0.00000     0.00000     0.00000
   -19.95618     0.00000     0.00000     0.00000     0.00000
   -19.91818     0.00000     0.00000     0.00000     0.00000
   -19.87918     0.00000     0.00000     0.00000     0.00000
   -19.84018     0.00000     0.00000     0.00000     0.00000
   -19.80218     0.00000     0.00000     0.00000     0.00000
   -19.76318     0.00000     0.00000     0.00000     0.00000
   -19.72418     0.00000     0.00000     0.00000     0.00000
   -19.68618     0.00000     0.00000     0.00000     0.00000
   -19.64718     0.00000     0.00000     0.00000     0.00000
   -19.60818     0.00000     0.00000     0.00000     0.00000
   -19.57018     0.00000     0.00000     0.00000     0.00000
   -19.53118     0.00000     0.00000     0.00000     0.00000
   -19.49218     0.00000     0.00000     0.00000     0.00000
   -19.45418     0.00000     0.00000     0.00000     0.00000
   -19.41518     0.00000     0.00000     0.00000     0.00000
   -19.37618     0.00000     0.00000     0.00000     0.00000
   -19.33818     0.00000     0.00000     0.00000     0.00000
   -19.29918     0.00000     0.00000     0.00000     0.00000
   -19.26018     0.00000     0.00000     0.00000     0.00000
   -19.22218     0.00000     0.00000     0.00000     0.00000
   -19.18318     0.00000     0.00000     0.00000     0.00000
   -19.14418     0.00000     0.00000     0.00000     0.00000
   -19.10618     0.00000     0.00000     0.00000     0.00000
   -19.06718     0.00000     0.00000     0.00000     0.00000
   -19.02818     0.00000     0.00000     0.00000     0.00000
   -18.99018     0.00000     0.00000     0.00000     0.00000
   -18.95118     0.00000     0.00000     0.00000     0.00000
   -18.91218     0.00000     0.00000     0.00000     0.00000
   -18.87418     0.00000     0.00000     0.00000     0.00000
   -18.83518     0.00000     0.00000     0.00000     0.00000
   -18.79618     0.00000     0.00000     0.00000     0.00000
   -18.75818     0.00000     0.00000     0.00000     0.00000
   -18.71918     0.00000     0.00000     0.00000     0.00000
   -18.68018     0.00000     0.00000     0.00000     0.00000
   -18.64218     0.00000     0.00000     0.00000     0.00000
   -18.60318     0.00000     0.00000     0.00000     0.00000
   -18.56418     0.00000     0.00000     0.00000     0.00000
   -18.52618     0.00000     0.00000     0.00000     0.00000
   -18.48718     0.00000     0.00000     0.00000     0.00000
   -18.44818     0.00000     0.00000     0.00000     0.00000
   -18.41018     0.00000     0.00000     0.00000     0.00000
   -18.37118     0.00000     0.00000     0.00000     0.00000
   -18.33218     0.00000     0.00000     0.00000     0.00000
   -18.29418     0.00000     0.00000     0.00000     0.00000
   -18.25518     0.00000     0.00000     0.00000     0.00000
   -18.21618     0.00000     0.00000     0.00000     0.00000
   -18.17818     0.00000     0.00000     0.00000     0.00000
   -18.13918     0.00000     0.00000     0.00000     0.00000
   -18.10018     0.00000     0.00000     0.00000     0.00000
   -18.06218     0.00000     0.00000     0.00000     0.00000
   -18.02318     0.00000     0.00000     0.00000     0.00000
   -17.98418     0.00000     0.00000     0.00000     0.00000
   -17.94618     0.00000     0.00000     0.00000     0.00000
   -17.90718     0.00000     0.00000     0.00000     0.00000
   -17.86818     0.00000     0.00000     0.00000     0.00000
   -17.83018     0.00000     0.00000     0.00000     0.00000
   -17.79118     0.00000     0.00000     0.00000     0.00000
   -17.75218     0.00000     0.00000     0.00000     0.00000
   -17.71418     0.00000     0.00000     0.00000     0.00000
   -17.67518     0.00000     0.00000     0.00000     0.00000
   -17.63618     0.00000     0.00000     0.00000     0.00000
   -17.59818     0.00000     0.00000     0.00000     0.00000
   -17.55918     0.00000     0.00000     0.00000     0.00000
   -17.52018     0.00000     0.00000     0.00000     0.00000
   -17.48218     0.00000     0.00000     0.00000     0.00000
   -17.44318     0.00000     0.00000     0.00000     0.00000
   -17.40418     0.00000     0.00000     0.00000     0.00000
   -17.36618     0.00000     0.00000     0.00000     0.00000
   -17.32718     0.00000     0.00000     0.00000     0.00000
   -17.28818     0.00000     0.00000     0.00000     0.00000
   -17.25018     0.00000     0.00000     0.00000     0.00000
   -17.21118     0.00000     0.00000     0.00000     0.00000
   -17.17218     0.00000     0.00000     0.00000     0.00000
   -17.13418     0.00000     0.00000     0.00000     0.00000
   -17.09518     0.00000     0.00000     0.00000     0.00000
   -17.05618     0.00000     0.00000     0.00000     0.00000
   -17.01818     0.00000     0.00000     0.00000     0.00000
   -16.97918     0.00000     0.00000     0.00000     0.00000
   -16.94018     0.00000     0.00000     0.00000     0.00000
   -16.90218     0.00000     0.00000     0.00000     0.00000
   -16.86318     0.00000     0.00000     0.00000     0.00000
   -16.82418     0.00000     0.00000     0.00000     0.00000
   -16.78618     0.00000     0.00000     0.00000     0.00000
   -16.74718     0.00000     0.00000     0.00000     0.00000
   -16.70818     0.00000     0.00000     0.00000     0.00000
   -16.67018     0.00000     0.00000     0.00000     0.00000
   -16.63118     0.00000     0.00000     0.00000     0.00000
   -16.59218     0.00000     0.00000     0.00000     0.00000
   -16.55418     0.00000     0.00000     0.00000     0.00000
   -16.51518     0.00000     0.00000     0.00000     0.00000
   -16.47618     0.00000     0.00000     0.00000     0.00000
