# E_raw(eV)  PDOS(states/eV)  E_minus_Ef(eV)  E_minus_Evac_left(eV)  E_minus_Evac_right(eV)  E_minus_Vmid(eV)
-3.018900000000000006e+01 0.000000000000000000e+00 -2.931088159000000104e+01 -3.366344230423112549e+01 -3.391447869820406424e+01 -2.478122594221459707e+01
-3.017599999999999838e+01 0.000000000000000000e+00 -2.929788158999999936e+01 -3.365044230423112026e+01 -3.390147869820405901e+01 -2.476822594221459184e+01
-3.016400000000000148e+01 0.000000000000000000e+00 -2.928588159000000246e+01 -3.363844230423112691e+01 -3.388947869820406567e+01 -2.475622594221459849e+01
-3.015099999999999980e+01 0.000000000000000000e+00 -2.927288159000000078e+01 -3.362544230423112168e+01 -3.387647869820406044e+01 -2.474322594221459326e+01
-3.013800000000000168e+01 0.000000000000000000e+00 -2.925988159000000266e+01 -3.361244230423112356e+01 -3.386347869820406231e+01 -2.473022594221459514e+01
-3.012600000000000122e+01 0.000000000000000000e+00 -2.924788159000000221e+01 -3.360044230423112310e+01 -3.385147869820406186e+01 -2.471822594221459468e+01
-3.011299999999999955e+01 0.000000000000000000e+00 -2.923488159000000053e+01 -3.358744230423112498e+01 -3.383847869820406373e+01 -2.470522594221459656e+01
-3.010099999999999909e+01 0.000000000000000000e+00 -2.922288159000000007e+01 -3.357544230423112452e+01 -3.382647869820406328e+01 -2.469322594221459610e+01
-3.008800000000000097e+01 0.000000000000000000e+00 -2.920988159000000195e+01 -3.356244230423112640e+01 -3.381347869820406515e+01 -2.468022594221459798e+01
-3.007600000000000051e+01 0.000000000000000000e+00 -2.919788159000000149e+01 -3.355044230423112595e+01 -3.380147869820406470e+01 -2.466822594221459752e+01
-3.006299999999999883e+01 0.000000000000000000e+00 -2.918488158999999982e+01 -3.353744230423112072e+01 -3.378847869820405947e+01 -2.465522594221459229e+01
-3.005000000000000071e+01 0.000000000000000000e+00 -2.917188159000000169e+01 -3.352444230423112259e+01 -3.377547869820406135e+01 -2.464222594221459417e+01
-3.003800000000000026e+01 0.000000000000000000e+00 -2.915988159000000124e+01 -3.351244230423112214e+01 -3.376347869820406089e+01 -2.463022594221459372e+01
-3.002499999999999858e+01 0.000000000000000000e+00 -2.914688158999999956e+01 -3.349944230423112401e+01 -3.375047869820406277e+01 -2.461722594221459559e+01
-3.001300000000000168e+01 0.000000000000000000e+00 -2.913488159000000266e+01 -3.348744230423112356e+01 -3.373847869820406231e+01 -2.460522594221459514e+01
-3.000000000000000000e+01 0.000000000000000000e+00 -2.912188159000000098e+01 -3.347444230423112543e+01 -3.372547869820406419e+01 -2.459222594221459701e+01
-2.998799999999999955e+01 0.000000000000000000e+00 -2.910988159000000053e+01 -3.346244230423112498e+01 -3.371347869820406373e+01 -2.458022594221459656e+01
-2.997500000000000142e+01 0.000000000000000000e+00 -2.909688159000000240e+01 -3.344944230423112685e+01 -3.370047869820406561e+01 -2.456722594221459843e+01
-2.996199999999999974e+01 0.000000000000000000e+00 -2.908388159000000073e+01 -3.343644230423112162e+01 -3.368747869820406038e+01 -2.455422594221459320e+01
-2.994999999999999929e+01 0.000000000000000000e+00 -2.907188159000000027e+01 -3.342444230423112117e+01 -3.367547869820405992e+01 -2.454222594221459275e+01
-2.993700000000000117e+01 0.000000000000000000e+00 -2.905888159000000215e+01 -3.341144230423112305e+01 -3.366247869820406180e+01 -2.452922594221459462e+01
-2.992500000000000071e+01 0.000000000000000000e+00 -2.904688159000000169e+01 -3.339944230423112259e+01 -3.365047869820406135e+01 -2.451722594221459417e+01
-2.991199999999999903e+01 0.000000000000000000e+00 -2.903388159000000002e+01 -3.338644230423112447e+01 -3.363747869820406322e+01 -2.450422594221459605e+01
-2.989999999999999858e+01 0.000000000000000000e+00 -2.902188158999999956e+01 -3.337444230423112401e+01 -3.362547869820406277e+01 -2.449222594221459559e+01
-2.988700000000000045e+01 0.000000000000000000e+00 -2.900888159000000144e+01 -3.336144230423112589e+01 -3.361247869820406464e+01 -2.447922594221459747e+01
