    # Energy          Ge           H
   -28.98388     0.00000     0.00000
   -28.97088     0.00000     0.00000
   -28.95888     0.00000     0.00000
   -28.94588     0.00000     0.00000
   -28.93388     0.00000     0.00000
   -28.92088     0.00000     0.00000
   -28.90888     0.00000     0.00000
   -28.89588     0.00000     0.00000
   -28.88288     0.00000     0.00000
   -28.87088     0.00000     0.00000
   -28.85788     0.00000     0.00000
   -28.84588     0.00000     0.00000
   -28.83288     0.00000     0.00000
   -28.82088     0.00000     0.00000
   -28.80788     0.00000     0.00000
   -28.79488     0.00000     0.00000
   -28.78288     0.00000     0.00000
   -28.76988     0.00000     0.00000
   -28.75788     0.00000     0.00000
   -28.74488     0.00000     0.00000
   -28.73288     0.00000     0.00000
   -28.71988     0.00000     0.00000
   -28.70688     0.00000     0.00000
   -28.69488     0.00000     0.00000
   -28.68188     0.00000     0.00000
   -28.66988     0.00000     0.00000
   -28.65688     0.00000     0.00000
   -28.64488     0.00000     0.00000
   -28.63188     0.00000     0.00000
   -28.61888     0.00000     0.00000
   -28.60688     0.00000     0.00000
   -28.59388     0.00000     0.00000
   -28.58188     0.00000     0.00000
   -28.56888     0.00000     0.00000
   -28.55688     0.00000     0.00000
   -28.54388     0.00000     0.00000
   -28.53088     0.00000     0.00000
   -28.51888     0.00000     0.00000
   -28.50588     0.00000     0.00000
   -28.49388     0.00000     0.00000
   -28.48088     0.00000     0.00000
   -28.46888     0.00001     0.00000
   -28.45588     0.00005     0.00000
   -28.44288     0.00028     0.00000
   -28.43088     0.00150     0.00000
   -28.41788     0.00703     0.00000
   -28.40588     0.02903     0.00000
   -28.39288     0.10577     0.00000
   -28.38088     0.34005     0.00000
   -28.36788     0.96515     0.00000
   -28.35488     2.41889     0.00000
   -28.34288     5.35662     0.00000
   -28.32988    10.49669     0.00000
   -28.31788    18.23983     0.00000
   -28.30488    28.22594     0.00000
   -28.29288    39.19305     0.00000
   -28.27988    49.51497     0.00000
   -28.26788    58.07001     0.00000
   -28.25488    65.10665     0.00000
   -28.24188    71.74222     0.00000
   -28.22988    78.73303     0.00000
   -28.21688    85.27888     0.00000
   -28.20488    88.99879     0.00000
   -28.19188    87.22598     0.00000
   -28.17988    78.73684     0.00000
   -28.16688    64.74718     0.00000
   -28.15388    48.36602     0.00000
   -28.14188    33.34139     0.00000
   -28.12888    22.80560     0.00000
   -28.11688    18.78514     0.00000
   -28.10388    22.22040     0.00000
   -28.09188    33.00222     0.00000
   -28.07888    49.60134     0.00000
   -28.06588    68.84089     0.00000
   -28.05388    86.67031     0.00000
   -28.04088   100.27649     0.00001
   -28.02888   110.54236     0.00002
   -28.01588   122.83588     0.00005
   -28.00388   145.12780     0.00009
   -27.99088   183.79711     0.00015
   -27.97788   239.54694     0.00024
   -27.96588   306.22390     0.00036
   -27.95288   373.03135     0.00053
   -27.94088   429.03133     0.00078
   -27.92788   467.81077     0.00116
   -27.91588   489.65953     0.00177
   -27.90288   501.07294     0.00275
   -27.88988   511.31283     0.00423
   -27.87788   528.05241     0.00631
   -27.86488   554.06020     0.00894
   -27.85288   585.92465     0.01193
   -27.83988   616.46297     0.01494
   -27.82788   638.48105     0.01763
   -27.81488   648.80713     0.01981
   -27.80188   649.57973     0.02152
   -27.78988   646.90596     0.02302
   -27.77688   647.44206     0.02466
   -27.76488   655.42730     0.02671
   -27.75188   671.24467     0.02928
   -27.73988   691.55177     0.03228
   -27.72688   711.22655     0.03554
   -27.71388   725.82013     0.03912
   -27.70188   733.63709     0.04371
   -27.68888   736.96221     0.05113
   -27.67688   741.44185     0.06462
   -27.66388   753.12422     0.08846
