    # Energy          Ge           H
   -25.80759     0.00000     0.00000
   -25.79459     0.00000     0.00000
   -25.78259     0.00000     0.00000
   -25.76959     0.00000     0.00000
   -25.75759     0.00000     0.00000
   -25.74459     0.00000     0.00000
   -25.73159     0.00000     0.00000
   -25.71959     0.00000     0.00000
   -25.70659     0.00000     0.00000
   -25.69459     0.00000     0.00000
   -25.68159     0.00000     0.00000
   -25.66859     0.00000     0.00000
   -25.65659     0.00000     0.00000
   -25.64359     0.00000     0.00000
   -25.63159     0.00000     0.00000
   -25.61859     0.00000     0.00000
   -25.60659     0.00000     0.00000
   -25.59359     0.00000     0.00000
   -25.58059     0.00000     0.00000
   -25.56859     0.00000     0.00000
   -25.55559     0.00000     0.00000
   -25.54359     0.00000     0.00000
   -25.53059     0.00000     0.00000
   -25.51759     0.00000     0.00000
   -25.50559     0.00000     0.00000
   -25.49259     0.00000     0.00000
   -25.48059     0.00000     0.00000
   -25.46759     0.00000     0.00000
   -25.45559     0.00000     0.00000
   -25.44259     0.00000     0.00000
   -25.42959     0.00000     0.00000
   -25.41759     0.00000     0.00000
   -25.40459     0.00000     0.00000
   -25.39259     0.00000     0.00000
   -25.37959     0.00000     0.00000
   -25.36659     0.00000     0.00000
   -25.35459     0.00000     0.00000
   -25.34159     0.00000     0.00000
   -25.32959     0.00000     0.00000
   -25.31659     0.00000     0.00000
   -25.30459     0.00000     0.00000
   -25.29159     0.00000     0.00000
   -25.27859     0.00000     0.00000
   -25.26659     0.00000     0.00000
   -25.25359     0.00000     0.00000
   -25.24159     0.00000     0.00000
   -25.22859     0.00000     0.00000
   -25.21559     0.00000     0.00000
   -25.20359     0.00000     0.00000
   -25.19059     0.00000     0.00000
   -25.17859     0.00000     0.00000
   -25.16559     0.00000     0.00000
   -25.15359     0.00000     0.00000
   -25.14059     0.00000     0.00000
   -25.12759     0.00000     0.00000
   -25.11559     0.00000     0.00000
   -25.10259     0.00000     0.00000
   -25.09059     0.00000     0.00000
   -25.07759     0.00000     0.00000
   -25.06559     0.00000     0.00000
   -25.05259     0.00000     0.00000
   -25.03959     0.00000     0.00000
   -25.02759     0.00000     0.00000
   -25.01459     0.00000     0.00000
   -25.00259     0.00000     0.00000
   -24.98959     0.00000     0.00000
   -24.97659     0.00000     0.00000
   -24.96459     0.00000     0.00000
   -24.95159     0.00000     0.00000
   -24.93959     0.00000     0.00000
   -24.92659     0.00000     0.00000
   -24.91459     0.00000     0.00000
   -24.90159     0.00000     0.00000
   -24.88859     0.00000     0.00000
   -24.87659     0.00000     0.00000
   -24.86359     0.00000     0.00000
   -24.85159     0.00000     0.00000
   -24.83859     0.00000     0.00000
   -24.82559     0.00000     0.00000
   -24.81359     0.00000     0.00000
   -24.80059     0.00000     0.00000
   -24.78859     0.00000     0.00000
   -24.77559     0.00000     0.00000
   -24.76359     0.00000     0.00000
   -24.75059     0.00000     0.00000
