# E_raw(eV)  DOS(states/eV)  E_minus_Ef(eV)  E_minus_Evac_left(eV)  E_minus_Evac_right(eV)  E_minus_Vmid(eV)
-2.943199999999999861e+01 0.000000000000000000e+00 -2.890259340999999793e+01 -3.434633997477950373e+01 -3.359345695176216395e+01 -2.447386819937089442e+01
-2.941900000000000048e+01 0.000000000000000000e+00 -2.888959340999999981e+01 -3.433333997477950561e+01 -3.358045695176216583e+01 -2.446086819937089629e+01
-2.940700000000000003e+01 0.000000000000000000e+00 -2.887759340999999935e+01 -3.432133997477950516e+01 -3.356845695176216537e+01 -2.444886819937089584e+01
-2.939399999999999835e+01 0.000000000000000000e+00 -2.886459340999999768e+01 -3.430833997477950703e+01 -3.355545695176216725e+01 -2.443586819937089416e+01
-2.938200000000000145e+01 0.000000000000000000e+00 -2.885259341000000077e+01 -3.429633997477950658e+01 -3.354345695176216680e+01 -2.442386819937089726e+01
-2.936899999999999977e+01 0.000000000000000000e+00 -2.883959340999999910e+01 -3.428333997477950845e+01 -3.353045695176216867e+01 -2.441086819937089558e+01
-2.935600000000000165e+01 0.000000000000000000e+00 -2.882659341000000097e+01 -3.427033997477951033e+01 -3.351745695176217055e+01 -2.439786819937089746e+01
-2.934400000000000119e+01 0.000000000000000000e+00 -2.881459341000000052e+01 -3.425833997477950987e+01 -3.350545695176217009e+01 -2.438586819937089700e+01
-2.933099999999999952e+01 0.000000000000000000e+00 -2.880159340999999884e+01 -3.424533997477950464e+01 -3.349245695176216486e+01 -2.437286819937089533e+01
-2.931899999999999906e+01 0.000000000000000000e+00 -2.878959340999999839e+01 -3.423333997477950419e+01 -3.348045695176216441e+01 -2.436086819937089487e+01
-2.930600000000000094e+01 0.000000000000000000e+00 -2.877659341000000026e+01 -3.422033997477950606e+01 -3.346745695176216628e+01 -2.434786819937089675e+01
-2.929400000000000048e+01 0.000000000000000000e+00 -2.876459340999999981e+01 -3.420833997477950561e+01 -3.345545695176216583e+01 -2.433586819937089629e+01
-2.928099999999999881e+01 0.000000000000000000e+00 -2.875159340999999813e+01 -3.419533997477950749e+01 -3.344245695176216771e+01 -2.432286819937089462e+01
-2.926800000000000068e+01 0.000000000000000000e+00 -2.873859341000000001e+01 -3.418233997477950936e+01 -3.342945695176216958e+01 -2.430986819937089649e+01
